Process Monitor Report - 2026-06-12 15:19:33.932545
====================================================================================================
PID      PPID     Name                           Memory(MB)   CPU%     Status    
104      2        khungtaskd                     0.0          0.0      sleeping  
105      2        oom_reaper                     0.0          0.0      sleeping  
106      2        kworker/R-writeback            0.0          0.0      idle      
107      2        kcompactd0                     0.0          0.0      sleeping  
108      2        ksmd                           0.0          0.0      sleeping  
109      2        khugepaged                     0.0          0.0      sleeping  
110      2        kworker/R-kblockd              0.0          0.0      idle      
111      2        kworker/R-blkcg_punt_bio       0.0          0.0      idle      
112      2        kworker/R-kintegrityd          0.0          0.0      idle      
113      2        irq/9-acpi                     0.0          0.0      sleeping  
118      2        kworker/2:1-events             0.0          0.0      idle      
119      2        kworker/R-tpm_dev_wq           0.0          0.0      idle      
120      2        kworker/R-edac-poller          0.0          0.0      idle      
121      2        kworker/R-devfreq_wq           0.0          0.0      idle      
122      2        kworker/R-quota_events_unboun  0.0          0.0      idle      
123      2        irq/25-AMD-Vi0-Evt             0.0          0.0      sleeping  
124      2        irq/26-AMD-Vi0-PPR             0.0          0.0      sleeping  
125      2        irq/27-AMD-Vi0-GA              0.0          0.0      sleeping  
126      2        kworker/6:1-events             0.0          0.0      idle      
127      2        kswapd0                        0.0          0.0      sleeping  
128      2        kdamond.0                      0.0          0.0      idle      
130      2        kworker/5:1-mm_percpu_wq       0.0          0.0      idle      
132      2        kworker/R-kthrotld             0.0          0.0      idle      
134      2        kworker/R-acpi_thermal_pm      0.0          0.0      idle      
135      2        kworker/R-mld                  0.0          0.0      idle      
136      2        kworker/9:1-kec_query          0.0          0.0      idle      
137      2        kworker/R-ipv6_addrconf        0.0          0.0      idle      
138      2        kworker/R-kstrp                0.0          0.0      idle      
160      2        kworker/7:1-mm_percpu_wq       0.0          0.0      idle      
161      2        kworker/3:1-events             0.0          0.0      idle      
281      2        watchdogd                      0.0          0.0      sleeping  
282      2        kworker/R-nvme-wq              0.0          0.0      idle      
283      2        kworker/R-nvme-reset-wq        0.0          0.0      idle      
284      2        kworker/R-nvme-delete-wq       0.0          0.0      idle      
285      2        kworker/R-nvme-auth-wq         0.0          0.0      idle      
288      2        irq/37-PNP0C50:0b              0.0          0.0      sleeping  
290      2        kworker/6:2-mm_percpu_wq       0.0          0.0      idle      
291      2        kworker/R-amdgpu-reset-dev     0.0          0.0      idle      
292      2        kworker/R-ttm                  0.0          0.0      idle      
293      2        kworker/R-amdgpu_dm_hpd_rx_of  0.0          0.0      idle      
294      2        kworker/R-amdgpu_dm_hpd_rx_of  0.0          0.0      idle      
295      2        kworker/R-amdgpu_dm_hpd_rx_of  0.0          0.0      idle      
296      2        kworker/R-amdgpu_dm_hpd_rx_of  0.0          0.0      idle      
297      2        kworker/R-dm_vblank_control_w  0.0          0.0      idle      
298      2        card0-crtc0                    0.0          0.0      sleeping  
299      2        card0-crtc1                    0.0          0.0      sleeping  
300      2        card0-crtc2                    0.0          0.0      sleeping  
301      2        card0-crtc3                    0.0          0.0      sleeping  
302      2        kworker/R-gfx                  0.0          0.0      idle      
303      2        kworker/R-comp_1.0.0           0.0          0.0      idle      
304      2        kworker/R-comp_1.1.0           0.0          0.0      idle      
305      2        kworker/R-comp_1.2.0           0.0          0.0      idle      
306      2        kworker/R-comp_1.3.0           0.0          0.0      idle      
307      2        kworker/R-comp_1.0.1           0.0          0.0      idle      
308      2        kworker/R-comp_1.1.1           0.0          0.0      idle      
309      2        kworker/R-comp_1.2.1           0.0          0.0      idle      
310      2        kworker/R-comp_1.3.1           0.0          0.0      idle      
311      2        kworker/R-sdma0                0.0          0.0      idle      
